company_id,name,country,city,zip_code
4191,Gannett | USA TODAY NETWORK,US,McLean,22107
4207,Raymond James,US,St. Petersburg,33716
4211,Embraer,BR,São José dos Campos,12227-901
4215,Ohio Department of Transportation,US,Columbus,43223
4219,Ohio Department of Health,US,Columbus,43215
4222,TTEC,US,Greenwood Village,80111
4224,Regions Bank,US,Birmingham,35203
4237,"EMD Serono, Inc.",US,Rockland,2370
4255,Paychex,US,Rochester,14625
4256,CAE,CA,Montréal,H4T 1G6
4257,Humana,US,Louisville,0
4262,Rutgers University,US,New Brunswick,8901
4275,Vestas,DK,Aarhus,8200
4281,UF Health Jacksonville,US,Jacksonville,32209
4292,Arizona State University,US,Tempe,85281
4293,AMC Networks,US,New York,10001
4296,DISH Network,US,Englewood,80112
4297,UVA Health,US,Charlottesville,22903
4298,University of Virginia,US,Charlottesville,22903
4307,Lincoln Financial Group,US,Radnor,19087
4310,TransUnion,US,Chicago,0
4328,Logitech,US,San Jose,95134
4334,Baker Hughes,US,Houston,77073
4335,Skanska,SE,Stockholm,SE-112 74
4346,FleishmanHillard,US,St. Louis,63102
4371,GfK - An NIQ Company,DE,Nuremberg,90443
4374,Sanmina,US,San Jose,95134
4376,Manhattan Associates,US,Atlanta,30339
4377,Weber Shandwick,US,New York,10022
4389,Coloplast,DK,Humlebæk,3050
4394,Assurant,US,Atlanta,30339
4399,Principal Financial Group,US,Des Moines,50309
4402,Cemex,MX,Monterrey,6400
4411,DNV,NO,Høvik,1322
4413,Paramount Pictures,US,Los Angeles,90038
4416,Primerica,US,Duluth,30099-0001
4417,"Barnes & Noble, Inc.",US,New York,10003
4419,UCI Health,US,Orange,92868
4422,DLA Piper,GB,London,EC1A 4HT
4433,Aquent,US,Boston,2116
4440,Nomura,JP,Tokyo,103-8645
4446,Aspen Technology,US,Bedford,1730
4451,Parexel,US,Durham,27713
4453,"Ryder System, Inc.",US,Miami,33178
4458,Diebold Nixdorf,US,North Canton,44720
4494,Weyerhaeuser,US,Seattle,98104
4501,USAA,US,San Antonio,78288
4505,Scholastic,US,New York,10012
4510,Anheuser-Busch,US,St. Louis,63118
4512,UMass Chan Medical School,US,Worcester,1655
4513,Campbell's,US,Camden,8103
4517,Hearst Magazines,US,New York,10009
4520,Hearst,US,New York,10019
4529,Houston Methodist,US,Houston,77030
4535,Nous Infosystems,US,Edison,8817
4536,Kuehne+Nagel,CH,Schindellegi,8834
4541,National Football League (NFL),US,New York,10154
4543,San Francisco 49ers,US,Santa Clara,95054
4548,Indianapolis Colts,US,Indianapolis,46254
4556,Texas A&M University,US,College Station,77843
4562,PerkinElmer,US,Shelton,6484
4564,Vanderbilt University Medical Center,US,Nashville,37203
4565,Vanderbilt University,US,Nashville,37235
4589,Lundbeck,DK,Valby,2500
4590,Parker Aerospace,US,Cleveland,44124
4591,Parker Hannifin,US,Cleveland,44124
4592,SKF Group,SE,Göteborg,SE-415 50
4593,Western Digital,US,San Jose,95138
4599,Southwest Airlines,US,Dallas,75235
4600,Allen & Overy,GB,London,E1 6AD
4608,Washington University in St. Louis,US,St. Louis,63130-4899
4611,Massachusetts Department of Public Health,US,Boston,2108
4617,Epicor,US,Austin,78746
4622,CNH Industrial,0,0,0
4644,The George Washington University,US,Washington,20052
4647,American Family Insurance,US,Madison,53783
4652,FDA,US,Silver Spring,20993
4661,Birlasoft,IN,Pune,411057
